0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.96067053,0.7104754,0.5564082,0.69089967,0.5256649,0.5322852,0.31843084,0.0949437,0.6582791,0.13686353,0.5229147,0.50026643,0.66662335,0.28336042,0.04212892,0.78430736,0.46219206,0.2948293,0.79435307,0.81027526,0.36714417,0.82997555,0.8773543,0.19802034,0.41758752,0.7663493,0.80694234,0.8845068,0.4842713,0.5839937,0.87553203,0.43986452,0.030704916,0.6639381,0.08840269,0.11231202,0.8931731,0.4547884,0.12654555,0.9373126,0.70248806,0.5632935,0.6102168,0.91341853,0.52445036,0.6330483,0.158723,0.566582,0.33219844,0.9878578,0.1823436,0.7047168,0.084938765,0.1506381,0.7151601,0.3407356,0.09444046,0.9742732,0.8025404,0.64899385,0.35421777,0.2873996,0.44323224,0.35082662,0.09925318,0.16213638,0.37262458,0.22034132,0.077883124,0.46436936,0.9799235,0.74672383,0.8718638,0.7311133,0.5968302,0.8849036,0.87313867,0.80787164,0.022154331,0.17210203,0.8870867,0.47580224,0.59796757,0.3380586,0.2847507,0.7004896,0.38465685,0.00051534176,0.3670237,0.4254791,0.41009754,0.095608115,0.3349291,0.06840056,0.19859588,0.3929094,0.3954686,0.9136114,0.32200003,0.9648567
0.88638175,0.03715855,0.62079656,0.6149146,0.31048864,0.17432076,0.29193962,0.2327249,0.3275206,0.8481261,0.39370722,0.5305285,0.67001444,0.37716985,0.94729865,0.92196685,0.025179625,0.33308053,0.29510778,0.27066207,0.5569536,0.086067855,0.61601293,0.8998676,0.91531616,0.97239596,0.82021785,0.051563263,0.25970173,0.14052969,0.8829577,0.58947253,0.95517194,0.29683,0.68386334,0.2523774,0.45682478,0.71911776,0.01596272,0.10591912,0.477404,0.23234677,0.7734935,0.6531798,0.258559,0.28433067,0.41298813,0.18354928,0.0731684,0.42367196,0.1331644,0.34027165,0.9736142,0.2847889,0.22091311,0.7596427,0.22678798,0.34283864,0.8368217,0.14061731,0.92499334,0.4066733,0.2216031,0.2378487,0.84326386,0.074141264,0.7126305,0.45391577,0.08442438,0.27696937,0.6296367,0.009290695,0.9768766,0.8828953,0.96365666,0.9623097,0.43186378,0.90893346,0.29149568,0.7050609,0.055719256,0.5528868,0.5279969,0.8336979,0.37722814,0.28639853,0.9521784,0.8974246,0.7278513,0.50699466,0.6684691,0.6110481,0.93387794,0.14631659,0.6771073,0.44035548,0.48496276,0.81840205,0.2702902,0.4285335
0.79579633,0.29232407,0.19932353,0.11499405,0.82619727,0.0028364658,0.9306892,0.984438,0.2253589,0.76071185,0.40641373,0.39205247,0.5741721,0.86231244,0.84713525,0.68751603,0.38969755,0.60252035,0.0048198104,0.540079,0.41628885,0.8361726,0.88279146,0.14087051,0.34095013,0.4489454,0.41190714,0.74927515,0.43159884,0.08710265,0.72172976,0.1740709,0.8015834,0.5727197,0.31269205,0.021321654,0.69634205,0.22536862,0.56377816,0.61221373,0.9731668,0.21167326,0.015675187,0.9405991,0.24439901,0.4103251,0.72691834,0.3467312,0.44569695,0.0034110546,0.46247828,0.101697266,0.09917992,0.7023929,0.72686535,0.36653298,0.22516179,0.13600993,0.87271804,0.5166753,0.16667575,0.74948907,0.47424692,0.7241546,0.6778515,0.8858249,0.40583432,0.6204168,0.36406684,0.46084255,0.5928509,0.807552,0.8020732,0.37998998,0.7196617,0.26176298,0.33461303,0.044811666,0.8477428,0.3934455,0.19336724,0.506945,0.3134678,0.08711183,0.79053915,0.41822958,0.82177716,0.43636644,0.19311053,0.27590877,0.31486297,0.050936818,0.6018596,0.18843031,0.7653702,0.640792,0.6060732,0.9642176,0.1581325,0.81387675
0.6713606,0.029381752,0.21897614,0.86500657,0.31535625,0.44333184,0.16464299,0.605512,0.17958486,0.71215487,0.43364018,0.4717108,0.92095566,0.021442473,0.57700104,0.7870491,0.73162377,0.3467695,0.7802005,0.25798625,0.6864334,0.5014854,0.41139096,0.09185243,0.81731296,0.5623409,0.6948406,0.5766021,0.39190102,0.37793517,0.0967527,0.4068733,0.061565578,0.8446227,0.09261668,0.67395157,0.96445864,0.521561,0.28770965,0.8103842,0.8259944,0.6995506,0.933238,0.7701232,0.88596,0.27173853,0.834467,0.33593774,0.12106687,0.46924114,0.1715309,0.17568439,0.15523696,0.046746433,0.5352218,0.72267145,0.37003446,0.34675986,0.9460894,0.24216342,0.8530843,0.43843484,0.25341094,0.041663766,0.68092644,0.7530669,0.21024626,0.09043658,0.7651837,0.5335064,0.010219991,0.10843533,0.79843223,0.90977097,0.30970365,0.68134654,0.9583557,0.68721086,0.09614116,0.6302061,0.94513667,0.84877664,0.7042233,0.4796732,0.80159515,0.879037,0.28075814,0.42688292,0.026999712,0.29296333,0.086203456,0.42932862,0.82259786,0.7482569,0.17474318,0.36345702,0.61418045,0.36254758,0.28251326,0.8098172
0.9795364,0.32346368,0.6886863,0.30156952,0.6594552,0.93817985,0.3979758,0.019973278,0.61623096,0.44226253,0.7953458,0.81306547,0.34629256,0.06870133,0.5261471,0.63136697,0.26080817,0.34204566,0.51555336,0.45461386,0.6691417,0.41946644,0.68695927,0.6252173,0.12821001,0.90048623,0.9130338,0.5122473,0.5359481,0.24555802,0.39706767,0.522535,0.09500611,0.69591194,0.731384,0.7746987,0.45650405,0.16531557,0.83279747,0.93019664,0.39166868,0.047124863,0.32927424,0.610833,0.5816905,0.32786936,0.9494149,0.95842755,0.5000102,0.11912727,0.92485595,0.52003205,0.13782257,0.09507978,0.87093306,0.52378315,0.2200386,0.94667006,0.09410566,0.0832783,0.07304478,0.50090665,0.8852334,0.5119092,0.22050643,0.38885975,0.15439731,0.92238456,0.40997446,0.9458163,0.7517662,0.87589973,0.6722669,0.15002137,0.10103291,0.61333084,0.40505224,0.061627984,0.18394029,0.058000386,0.662141,0.6892925,0.4082716,0.6027329,0.85726446,0.29079074,0.25572795,0.4822535,0.8725679,0.53098047,0.91230166,0.68367404,0.5371553,0.51343644,0.6738797,0.85504943,0.28734422,0.10695499,0.21072066,0.2397582
0.5547509,0.48929006,0.109351575,0.5435009,0.96098036,0.24485272,0.7847299,0.7131929,0.62369615,0.6938169,0.23222607,0.8829844,0.32535744,0.8170027,0.34847748,0.90904975,0.6051084,0.301073,0.9845435,0.20177054,0.9229362,0.548445,0.9869911,0.19075716,0.03182769,0.9761496,0.07142091,0.7756894,0.42597407,0.5555507,0.35652024,0.23586345,0.22276318,0.02949965,0.4355592,0.4482593,0.6274518,0.5164097,0.53456056,0.520003,0.65488756,0.7724754,0.043533146,0.60491884,0.21131128,0.98075265,0.016660452,0.53053105,0.6578913,0.5512127,0.34481043,0.3887437,0.5758786,0.9817665,0.79419994,0.054380476,0.23459405,0.7917727,0.330128,0.36587662,0.69097316,0.821175,0.4787792,0.81805694,0.19952846,0.7676463,0.7867345,0.49452412,0.35081238,0.06338596,0.17295617,0.48448604,0.5491291,0.027895272,0.27765918,0.18405849,0.039770246,0.6513603,0.34658384,0.15097487,0.8842854,0.69852495,0.18262362,0.7209941,0.82996655,0.65156627,0.31594807,0.12329078,0.5338933,0.7066455,0.4887486,0.0018925071,0.25901818,0.5963703,0.74888694,0.33218944,0.014015138,0.3861496,0.33144498,0.34589744
0.5324358,0.09802967,0.72939366,0.37401026,0.4684621,0.35405844,0.68592453,0.1301648,0.82928586,0.25208735,0.76697344,0.7406467,0.23725706,0.045264482,0.43449533,0.9736442,0.80677956,0.220294,0.13674289,0.40585905,0.04038304,0.73078823,0.3344993,0.4650728,0.7501431,0.97583365,0.23939145,0.32162523,0.34032542,0.94335717,0.82723767,0.972087,0.81755763,0.62676436,0.5000278,0.17821902,0.95933676,0.36038196,0.073036194,0.80191034,0.14424247,0.6697537,0.28877014,0.7069545,0.29828024,0.15663648,0.2010898,0.8251523,0.598051,0.40753853,0.7382889,0.28458554,0.6563689,0.9098648,0.268004,0.9835774,0.67118746,0.60652786,0.6369136,0.16202527,0.895673,0.28555334,0.79834634,0.40025902,0.79340106,0.030281782,0.29029113,0.020248294,0.27201968,0.26431948,0.32546848,0.13188928,0.93367994,0.99048024,0.4605496,0.09033984,0.6507644,0.7830924,0.47014564,0.78821605,0.71779716,0.60786414,0.68943626,0.9330009,0.67069465,0.42934853,0.10271788,0.8231696,0.9355826,0.9220262,0.57725453,0.3612917,0.3341946,0.5134721,0.68407524,0.13596994,0.048772454,0.84440964,0.47163588,0.5227945
0.1399504,0.20510274,0.39384854,0.5273883,0.8721861,0.29615492,0.49760073,0.28460622,0.34749895,0.21556091,0.8069522,0.1717354,0.32726622,0.9675384,0.4788779,0.5335344,0.25788665,0.6836979,0.76411664,0.78715897,0.16552472,0.61923283,0.24944156,0.4553548,0.8055996,0.9659273,0.41651583,0.63841176,0.72323877,0.71149415,0.448955,0.9546317,0.98896056,0.6103935,0.5011583,0.663419,0.24631882,0.09101933,0.35575992,0.8261579,0.38286364,0.3297695,0.97383106,0.95935494,0.027662873,0.7301947,0.30983603,0.9350303,0.09903753,0.16455233,0.3362168,0.08030236,0.43872398,0.4440753,0.115404546,0.38867074,0.32523364,0.5190028,0.9499502,0.0528996,0.8932195,0.6335776,0.051546156,0.07617366,0.84483707,0.3869998,0.12011695,0.038297832,0.05057299,0.66203845,0.051562548,0.47645485,0.6868253,0.24487823,0.46345854,0.60753864,0.89020216,0.302202,0.81515074,0.11014265,0.026593864,0.76205736,0.9017301,0.1440472,0.8516751,0.4676699,0.78799474,0.8158459,0.7692641,2.270937e-05,0.7091556,0.77936506,0.6116789,0.48748547,0.93672884,0.23073685,0.82635707,0.478882,0.79405993,0.31173843
0.17847377,0.8311512,0.57489794,0.50934684,0.5196063,0.8348277,0.5968043,0.059521854,0.03171885,0.52096385,0.11200911,0.73030937,0.5205025,0.59595597,0.9853752,0.6378801,0.01596737,0.6133455,0.96616775,0.65619236,0.39244998,0.72578335,0.28501862,0.37984043,0.19452178,0.58090043,0.69919086,0.026929498,0.14818078,0.2521779,0.9502839,0.4489709,0.37588578,0.22629672,0.048511147,0.11689979,0.6733763,0.5813763,0.80304396,0.1675604,0.48714405,0.19104278,0.074582756,0.084763765,0.8053114,0.5837537,0.646398,0.97373706,0.46964675,0.28100204,0.036086857,0.4569326,0.30680066,0.09407759,0.015239954,0.5565146,0.81812286,0.72643673,0.23866701,0.23946595,0.5857245,0.7715622,0.49755335,0.5117741,0.8840758,0.4708175,0.35906982,0.109001875,0.90725744,0.569971,0.9766422,0.21286303,0.16889298,0.9494493,0.15467948,0.20808524,0.108178735,0.5644718,0.25246358,0.99642813,0.3327657,0.14742053,0.58968896,0.7145225,0.5816936,0.7193295,0.98965544,0.45749265,0.20727652,0.05614239,0.6655894,0.15773875,0.9418638,0.65443265,0.3760149,0.15929669,0.5464328,0.27453357,0.95733935,0.15075153
0.36181247,0.39516622,0.15291113,0.17219883,0.891962,0.8894217,0.21329123,0.30356658,0.26402104,0.99508446,0.31206423,0.60869396,0.89840084,0.21711338,0.42832947,0.4078169,0.7936455,0.47196347,0.9998866,0.8588152,0.62343997,0.5767251,0.56938016,0.9848632,0.43830395,0.9535621,0.30314952,0.60383356,0.760105,0.7660524,0.38039035,0.3153602,0.576924,0.41196483,0.836648,0.35720706,0.039581656,0.89432245,0.1781109,0.1060946,0.9645559,0.73824894,0.7800176,0.83770424,0.32596493,0.8615713,0.28916454,0.8491257,0.8712675,0.69651765,0.8043393,0.43879443,0.88122255,0.24981272,0.87749743,0.2378757,0.043933332,0.20385128,0.659788,0.3693387,0.5080336,0.6956929,0.44902378,0.21305221,0.28071648,0.42055255,0.9153755,0.4223827,0.44038504,0.66020256,0.7911595,0.45327443,0.27246106,0.9111036,0.25022078,0.5300967,0.2343477,0.48534167,0.9228213,0.6848336,0.22120011,0.7122964,0.6241228,0.83700794,0.50324553,0.1449914,0.013052106,0.15650356,0.5127341,0.49672383,0.87809205,0.69120157,0.82341284,0.26303488,0.69728196,0.3355838,0.6680855,0.8363416,0.6037828,0.76305646
